iter	Passed	Remaining
0	2	511
1	4	481
2	7	470
3	9	461
4	11	457
5	13	447
6	15	440
7	18	434
8	20	429
9	22	426
10	24	424
11	26	420
12	29	422
13	31	419
14	33	419
15	36	418
16	38	418
17	41	416
18	43	414
19	45	412
20	48	410
21	50	408
22	52	407
23	55	405
24	57	402
25	60	402
26	62	400
27	64	399
28	67	397
29	69	395
30	72	392
31	74	391
32	76	389
33	79	387
34	81	386
35	84	384
36	86	382
37	89	379
38	91	377
39	93	375
40	96	372
41	98	370
42	101	369
43	103	367
44	106	366
45	109	365
46	111	363
47	114	361
48	117	360
49	119	358
50	121	355
51	124	353
52	126	350
53	128	348
54	131	346
55	133	344
56	136	341
57	138	339
58	140	336
59	143	334
60	145	331
61	147	328
62	150	326
63	152	323
64	154	321
65	157	318
66	159	316
67	161	313
68	164	311
69	166	309
70	168	306
71	171	304
72	173	301
73	175	299
74	181	301
75	183	298
76	185	296
77	187	293
78	189	290
79	192	288
80	194	285
81	196	282
82	198	279
83	200	277
84	202	274
85	205	271
86	207	269
87	209	266
88	211	264
89	214	261
90	216	259
91	218	256
92	220	253
93	222	251
94	225	248
95	227	246
96	229	243
97	231	241
98	233	238
99	236	236
100	239	234
101	241	231
102	243	229
103	245	226
104	247	224
105	250	221
106	252	219
107	254	217
108	256	214
109	259	212
110	261	209
111	263	206
112	265	204
113	267	202
114	270	199
115	272	197
116	274	194
117	276	192
118	278	189
119	281	187
120	283	185
121	285	182
122	288	180
123	290	178
124	292	175
125	295	173
126	297	170
127	299	168
128	301	166
129	304	163
130	306	161
131	308	159
132	311	156
133	313	154
134	315	152
135	317	149
136	320	147
137	322	144
138	324	142
139	327	140
140	329	137
141	331	135
142	333	133
143	336	130
144	338	128
145	340	125
146	342	123
147	345	121
148	347	118
149	349	116
150	351	114
151	353	111
152	356	109
153	358	107
154	360	104
155	362	102
156	365	99
157	367	97
158	369	95
159	371	92
160	374	90
161	376	88
162	378	85
163	380	83
164	383	81
165	385	78
166	387	76
167	390	74
168	392	72
169	394	69
170	396	67
171	399	64
172	401	62
173	403	60
174	406	58
175	408	55
176	410	53
177	412	51
178	415	48
179	417	46
180	420	44
181	422	41
182	425	39
183	427	37
184	429	34
185	432	32
186	434	30
187	436	27
188	438	25
189	441	23
190	443	20
191	445	18
192	447	16
193	450	13
194	452	11
195	454	9
196	457	6
197	459	4
198	461	2
199	463	0
